Mestská časť,veľmi nízke riziko,nízke riziko,stredné riziko,vysoké riziko,veľmi vysoké riziko
Záhorská Bystrica,16,153.76,212.64,8,0
Vrakuňa,0,25.9,274.43,66.34,14.65
Vajnory,0,16,182.55,28,0
Staré Mesto,0,82.69,417.41,294.12,38.89
Ružinov,0,38.1,568.63,527.65,21.11
Rusovce,0,67.53,88.23,0,0
Rača,4,93.84,319.21,96.83,12
Podunajské Biskupice,0,16,333.03,103.95,9.35
Petržalka,0,140.45,407.73,255.98,36
Nové Mesto,16,131.71,498.88,247.05,20
Lamač,4,132.3,68.73,16,4
Karlova Ves,8.26,172.82,183.12,55.15,4
Jarovce,0,67.53,88.23,0,0
Dúbravka,0,88.69,209.92,76,20
Devínska Nová Ves,0,73.39,192.53,52,0
Devín,19.74,160.98,45.15,0.85,0
Čunovo,0,30.54,67.99,0,0
















